gene_id,symbol,biotype,n_tissues_up
ENSMUSG00000091694,Apol11b,protein_coding,6
ENSMUSG00000106438,Gm32051,lncRNA,5
ENSMUSG00000035352,Ccl12,protein_coding,5
ENSMUSG00000041481,Serpina3g,protein_coding,5
ENSMUSG00000032080,Apoa4,protein_coding,4
ENSMUSG00000045868,Gvin1,protein_coding,4
ENSMUSG00000048489,Depp1,protein_coding,4
ENSMUSG00000023349,Clec4n,protein_coding,4
ENSMUSG00000073409,H2-Q6,protein_coding,4
ENSMUSG00000066363,Serpina3f,protein_coding,4
ENSMUSG00000038530,Rgs4,protein_coding,4
ENSMUSG00000015437,Gzmb,protein_coding,4
ENSMUSG00000078606,Gvin2,protein_coding,4
ENSMUSG00000055413,H2-Q5,protein_coding,4
ENSMUSG00000078921,Tgtp2,protein_coding,4
ENSMUSG00000060550,H2-Q7,protein_coding,4
